Branch Code,City,Age,Avg. Annual Income/Month,Balance Q1,NumOfProducts Q1,HasCrCard Q1,ActiveMember Q1,Balance Q2,NumOfProducts Q2,HasCrCard Q2,ActiveMember Q2,Balance Q3,NumOfProducts Q3,HasCrCard Q3,ActiveMember Q3,Balance Q4,NumOfProducts Q4,HasCrCard Q4,ActiveMember Q4
1001,Jakarta,29,33000000,0.0,1,1,1,0.0,1,1,0,0.0,1,1,0,1187036.18,1,1,1
1005,Jakarta,68,17000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1009,Jakarta,25,12000000,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0,1351820.24,2,1,1
1008,Jakarta,42,19000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1009,Jakarta,43,29000000,0.0,2,1,0,0.0,2,1,0,678905.68,2,1,1,431190.68,2,1,1
1005,Jakarta,27,15000000,52906607.99,1,1,1,52906607.99,1,1,0,53178738.99,1,1,1,53252850.99,1,1,1
1003,Jakarta,68,26000000,110422174.7,1,1,1,110029273.7,1,1,1,109629531.7,2,1,1,109629531.7,2,1,0
1008,Jakarta,61,24000000,0.0,3,1,0,0.0,3,1,0,0.0,3,1,0,0.0,3,1,0
1003,Jakarta,43,38000000,0.0,2,1,1,0.0,2,1,0,299606.24,2,1,1,299606.24,3,1,0
1005,Jakarta,70,23000000,79982570.5,1,0,0,79620309.5,1,0,1,79401544.5,1,0,1,79401544.5,1,1,0
1001,Jakarta,23,19000000,19367558.14,1,0,0,19367558.14,1,0,0,18885354.14,1,0,1,19187638.14,1,1,1
1003,Jakarta,27,20000000,77606059.4,1,1,1,77790301.4,1,1,1,77790301.4,1,1,0,77847851.4,1,1,1
1003,Jakarta,35,29000000,81572983.84,2,1,0,81471156.84,2,1,1,81325677.84,2,1,1,81252629.84,2,1,1
1001,Jakarta,43,40000000,157313190.8,2,1,1,157243861.8,2,1,1,156784070.8,2,1,1,157043306.8,2,1,1
1002,Jakarta,34,25000000,91715558.8,2,1,0,91521756.8,2,1,1,91521756.8,2,1,0,91521756.8,2,1,0
1007,Jakarta,39,58000000,9884626.44,2,1,1,10177657.44,2,1,1,10577062.44,2,1,1,10577062.44,2,1,0
1004,Jakarta,25,8000000,117653812.3,2,1,0,117826449.3,2,1,1,117750019.3,2,1,1,118073153.3,2,1,1
1006,Jakarta,66,20000000,47572336.0,2,1,1,47572336.0,2,1,0,47572336.0,2,1,0,47484919.0,3,1,1
1005,Jakarta,69,24000000,75446102.4,1,1,0,75446102.4,1,1,0,75446102.4,1,1,0,75913018.4,1,1,1
1004,Jakarta,60,20000000,121561987.5,2,1,0,121561987.5,2,1,0,121745573.5,2,1,1,121745573.5,2,1,0
1004,Jakarta,44,43000000,126485527.5,1,1,1,126485527.5,1,1,0,126773800.5,1,1,1,127246279.5,1,1,1
1008,Jakarta,62,20000000,0.0,1,0,1,0.0,1,0,0,0.0,1,0,0,0.0,1,1,0
1007,Jakarta,39,28000000,30398981.49,2,1,1,30466330.49,2,1,1,30466330.49,2,1,0,30466330.49,3,1,0
1001,Jakarta,27,16000000,0.0,2,1,1,402849.44,2,1,1,676604.44,3,1,1,676604.44,4,1,0
1007,Jakarta,44,60000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,476987.98,2,1,1
1006,Jakarta,24,10000000,0.0,1,1,1,0.0,1,1,0,662841.44,1,1,1,1080653.44,1,1,1
1009,Jakarta,45,58000000,75208504.93,1,1,0,75480243.93,1,1,1,75480243.93,1,1,0,75083063.93,1,1,1
1008,Jakarta,38,23000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1006,Jakarta,53,30000000,84148187.53,2,1,1,83810530.53,3,1,1,83810530.53,3,1,0,83810530.53,3,1,0
1003,Jakarta,22,13000000,0.0,1,1,1,835104.98,1,1,1,898416.98,2,1,1,1324327.98,2,1,1
1002,Jakarta,41,31000000,0.0,1,1,0,201933.4,1,1,1,165847.4,1,1,1,655586.4,1,1,1
1007,Jakarta,22,14000000,83795071.48,1,0,1,83795071.48,1,0,0,84200143.48,1,0,1,84200143.48,1,1,0
1006,Jakarta,48,15000000,0.0,2,1,1,674720.06,2,1,1,221623.06,2,1,1,221623.06,2,1,0
1009,Jakarta,65,19000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1009,Jakarta,34,59000000,0.0,3,1,0,0.0,3,1,0,0.0,4,1,0,0.0,4,1,0
1006,Jakarta,53,30000000,0.0,2,1,1,0.0,2,1,0,0.0,2,1,0,0.0,2,1,0
1002,Jakarta,64,0,114598043.9,1,1,0,114598043.9,1,1,0,114851541.9,1,1,1,114608543.9,2,1,1
1001,Jakarta,70,25000000,0.0,2,1,1,0.0,2,1,0,371565.62,2,1,1,556679.62,3,1,1
1003,Jakarta,57,15000000,42020258.11,2,1,1,42414684.11,2,1,1,42069469.11,2,1,1,42069469.11,2,1,0
1004,Jakarta,43,53000000,11499202.47,1,1,0,11909169.47,2,1,1,12349739.47,2,1,1,12671630.47,2,1,1
1004,Jakarta,68,27000000,163410535.6,2,1,0,163410535.6,2,1,0,163199233.6,2,1,1,162931799.6,2,1,1
1008,Jakarta,39,45000000,53862464.64,1,1,0,54352503.64,1,1,1,54635857.64,1,1,1,54568926.64,1,1,1
1008,Jakarta,50,20000000,0.0,2,1,0,691245.88,2,1,1,210361.88,3,1,1,210361.88,3,1,0
1001,Jakarta,26,26000000,0.0,2,1,0,0.0,2,1,0,0.0,3,1,0,0.0,3,1,0
1006,Jakarta,22,16000000,0.0,1,1,0,0.0,1,1,0,0.0,1,1,0,0.0,1,1,0
1001,Jakarta,36,50000000,42435733.15,1,1,0,42435733.15,1,1,0,42435733.15,1,1,0,42315375.15,1,1,1
1008,Jakarta,53,18000000,69643198.06,2,1,0,69643198.06,2,1,0,69354349.06,2,1,1,69440307.06,3,1,1
1002,Jakarta,25,19000000,131915883.1,1,1,1,131915883.1,1,1,0,131915883.1,1,1,0,131915883.1,1,1,0
1001,Jakarta,36,38000000,0.0,1,1,1,1291968.7,1,1,1,1291968.7,1,1,0,1710660.7,1,1,1
