University,Overall_Score,Overall_Rank,Teaching_Score,Teaching_Rank,Research_Score,Research_Rank,Citations_Score,Citations_Rank,Industry_Income_Score,Industry_Income_Rank,International_Outlook_Score,International_Outlook_Rank,Number_of_Students
University of Oxford,98.5,10,96.6,5,100.0,2,99.0,5,98.7,77,97.5,14,master_account
Stanford University,98.0,20,99.0,1,97.8,8,99.6,2,100.0,25,87.0,167,private
Massachusetts Institute of Technology,97.9,30,98.6,2,96.2,11,99.7,1,100.0,16,93.8,66,private
Harvard University,97.8,40,97.7,3,99.9,3,99.4,3,84.2,216,90.8,119,private
University of Cambridge,97.5,50,95.8,7,100.0,1,98.0,12,87.9,180,97.4,15,master_account
Princeton University,96.9,60,96.3,6,97.9,7,98.8,7,95.1,118,89.1,135,private
California Institute of Technology,96.5,70,96.6,4,98.0,6,95.9,38,100.0,2,90.6,123,private
Imperial College London,95.1,80,90.9,12,95.5,12,98.6,8,90.9,157,98.3,6,master_account
"""""University of California"," Berkeley""""",94.6,90,87.2,18,98.8,4,99.0,4,99.4,63,86.8,171
Yale University,94.2,100,94.0,10,94.9,13,97.7,18,86.5,192,82.4,216,private
ETH Zurich,93.1,110,87.6,16,96.8,10,95.6,41,82.9,229,95.6,36,master_account
Tsinghua University,92.4,120,95.3,9,98.1,5,93.2,73,99.9,38,51.7,750,master_account
The University of Chicago,92.1,130,89.6,13,91.2,19,97.6,20,93.8,129,82.3,219,private
Peking University,91.8,140,95.6,8,97.3,9,87.2,172,98.8,72,70.2,404,master_account
Johns Hopkins University,91.1,150,84.4,23,92.3,17,97.2,27,100.0,11,84.2,198,private
University of Pennsylvania,91.0,160,87.7,15,89.7,21,97.6,23,97.7,90,78.8,268,private
Columbia University,90.9,170,88.6,14,89.7,20,97.4,25,75.2,332,86.9,168,private
"""""University of California"," Los Angeles""""",90.1,180,85.7,19,91.9,18,96.4,34,92.3,143,74.3,341
National University of Singapore,90.0,190,78.8,25,94.0,16,95.4,47,100.0,19,91.1,116,master_account
Cornell University,89.5,200,85.7,20,88.7,22,97.6,22,69.4,447,86.0,175,private
University of Toronto,88.6,210,77.5,28,94.1,15,92.8,81,96.1,103,90.7,122,master_account
UCL,88.1,220,78.4,26,86.4,24,98.6,9,75.2,335,97.9,8,master_account
University of Michigan-Ann Arbor,87.4,230,84.7,22,87.4,23,95.5,45,80.7,255,69.0,421,public
Carnegie Mellon University,86.3,240,75.0,32,84.6,26,98.9,6,87.3,182,85.5,184,private
University of Washington,85.3,250,78.0,27,83.5,29,98.2,11,77.6,294,73.2,362,public
Duke University,83.9,260,79.3,24,76.1,41,96.2,36,100.0,6,74.8,331,private
New York University,83.5,270,73.2,36,84.0,28,94.9,49,75.4,330,80.7,245,private
Northwestern University,83.2,280,72.3,37,78.8,34,97.8,15,99.7,50,75.9,315,private
The University of Tokyo,83.1,290,93.9,11,94.2,14,67.8,607,100.0,27,49.7,812,master_account
University of Edinburgh,82.5,300,70.7,41,77.5,37,96.9,30,71.1,404,97.0,22,master_account
Technical University of Munich,82.5,310,69.8,44,85.1,25,90.0,128,100.0,26,83.1,208,master_account
"""""Nanyang Technological University"," Singapore""""",82.3,320,66.2,52,80.9,32,94.5,54,99.7,49,93.3,78
École Polytechnique Fédérale de Lausanne,81.4,330,74.5,33,73.2,50,90.3,120,99.8,40,95.8,33,master_account
"""""University of California"," San Diego""""",81.0,340,66.0,53,78.4,35,97.6,19,100.0,1,74.3,342
University of Hong Kong,80.3,350,65.6,55,72.3,52,96.4,35,95.2,116,96.8,23,master_account
Georgia Institute of Technology,80.0,360,63.4,63,78.9,33,94.1,57,94.6,123,84.8,190,public
University of Melbourne,79.2,370,64.8,57,76.4,40,90.1,126,98.3,84,92.7,90,master_account
King’s College London,79.0,380,59.8,74,75.1,47,97.7,17,74.2,347,97.5,13,master_account
LMU Munich,79.0,390,65.3,56,76.8,38,92.2,89,100.0,15,76.9,298,master_account
Paris Sciences et Lettres – PSL Research University Paris,78.5,400,75.7,31,72.8,51,83.2,253,99.7,51,81.6,231,master_account
University of British Columbia,78.0,410,62.5,66,76.6,39,90.5,118,76.7,304,95.0,49,master_account
University of Illinois at Urbana-Champaign,77.9,420,69.5,45,81.5,31,85.2,206,85.3,206,64.0,502,public
Shanghai Jiao Tong University,77.7,430,76.6,29,82.5,30,75.4,432,100.0,24,60.6,572,master_account
Fudan University,77.5,440,76.5,30,75.3,43,83.5,246,96.0,104,56.1,658,master_account
KU Leuven,77.0,450,60.1,72,74.9,48,91.9,95,100.0,13,79.6,259,master_account
London School of Economics and Political Science,76.8,460,59.5,77,73.5,49,95.4,46,55.9,715,94.1,63,master_account
Universität Heidelberg,76.7,470,67.7,49,64.3,69,94.6,51,99.3,66,76.4,304,master_account
Delft University of Technology,76.3,480,66.7,51,78.2,36,76.5,404,100.0,5,92.8,86,master_account
McGill University,76.0,490,62.3,68,72.3,53,88.8,141,76.1,315,92.5,93,master_account
Karolinska Institute,75.9,500,58.9,82,67.9,56,95.3,48,96.0,106,85.7,181,master_account
University of Manchester,75.6,510,61.4,69,67.1,60,93.1,74,73.1,367,95.6,37,master_account
University of Texas at Austin,75.5,520,66.0,54,75.7,42,91.0,109,81.4,247,47.3,881,public
Chinese University of Hong Kong,75.4,530,59.1,80,61.5,80,97.6,21,95.9,107,93.6,69,master_account
Monash University,75.2,540,55.3,96,67.8,58,94.7,50,99.7,48,91.1,115,master_account
Kyoto University,75.0,550,85.4,21,84.3,27,60.0,779,100.0,14,45.7,940,master_account
